, Emotion, Text, Clean_text
1,senang, Pelayanannya sangat memuaskan., pelayanannya sangat memuaskan
2,puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
3,biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
4,kesal, Pelayanannya sangat lambat dan tidak responsif., pelayanannya sangat lambat tidak responsif
5,kecewa, Kualitas layanan menurun drastis., kualitas layanan menurun drastis
6,senang, Pelayanan ramah dan membantu., pelayanan ramah membantu
7,senang, Saya merasasenang dengan pelayanan yang diberikan., saya merasasenang dengan pelayanan diberikan
8,biasa saja, Pelayanannyabiasa sajatidak ada yang istimewa., pelayanannyabiasa saja tidak ada yang istimewa
9,senang, Proses pendaftaran sangat mudah., proses pendaftaran sangat mudah
10,kesal, Sistem administrasinya sangat kacau., sistem administrasi sangat kacau
11,puas, Pelayanannya cepat dan efisien., pelayanan cepat efisien
12,senang, Pelayanannya sangat membantu., pelayanan sangat membantu
13,puas, Proses registrasinya mudah dan lancar., proses registrasi mudah lancar
14,biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
15,kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
16,kecewa, Saya sangatkecewa dengan pelayanannya., saya sangatkecewa dengan pelayanannya
17,sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
18,senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
19,puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
20,biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
21,kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
22,kecewa, Saya sangatkecewa dengan pelayanannya., saya sangatkecewa dengan pelayanannya
23,sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
24,senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
25,puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
26,biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
27,kesal, Pelayanannya sangat lambat dan tidak responsif., pelayanannya sangat lambat tidak responsif
28,kecewa, Kualitas layanan menurun drastis., kualitas layanan menurun drastis
29,senang, Pelayanan ramah dan membantu., pelayanan ramah membantu
30,senang, Saya merasasenang dengan pelayanan yang diberikan., saya merasasenang dengan pelayanan diberikan
31,biasa saja, Pelayanannyabiasa saja tidak ada yang istimewa., pelayanannyabiasa saja tidak ada yang istimewa
32,senang, Proses pendaftaran sangat mudah., proses pendaftaran sangat mudah
33,kesal, Sistem administrasinya sangat kacau., sistem administrasi sangat kacau
34,puas, Pelayanannya cepat dan efisien., pelayanan cepat efisien
35,senang, Pelayanannya sangat membantu., pelayanan sangat membantu
36,puas, Proses registrasinya mudah dan lancar., proses registrasi mudah lancar
37,biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
